B17,G22,G23(L-MRDA)
100.0,5.48354,1.1323002579975423
300.0,105.868,101.1984739681639
100.0,23.8025,21.12579664368468
400.0,106.344,101.6113332787206
720.0,404.843,402.18103485987865
150.0,105.262,100.90758068179726
50.0,12.9715,12.073510878873662
100.0,5.47356,1.4841510997187584
400.0,205.947,201.38894069561664
80.0,30.4124,28.03518346818703
30.0,20.2554,17.654292328733504
6.0,2.66327,2.040409665131847
60.0,24.807,21.551971396213844
40.0,23.431,20.284217773451985
200.0,105.589,100.73327522194165
30.0,13.2824,10.934745892302317
200.0,105.262,100.90758068179726
150.0,55.4835,52.70709532483863
50.0,21.2863,19.05716995733883
400.0,106.396,101.95015799161307
8.0,2.66327,2.1771911683631515
500.0,305.722,300.8666068092245
20.0,11.3771,8.999957100629672
260.0,105.474,102.72688113201764
4.0,2.62316,2.000302105375795
