G22,G23(L-MRDA)
24.998,21.10838844591558
105.598,101.13371928031847
66.221,63.391780249451585
3.45368,2.615587957787511
25.0322,21.15432842099335
103.966,105.86194193176766
11.4611,10.755548726647476
205.531,201.08197151113768
2.32186,2.1860731146796297
2006.22,2001.4203800288726
5.08356,2.334724085112157
44.1382,39.876355153169015
23.5758,20.45310998237437
105.466,100.73860261875507
2006.22,2001.4203800288726
215.598,214.51496118141722
43.7732,40.66947343729362
21.1388,20.05570953655456
44.7829,61.67923080524656
205.966,201.50144782064535
1006.22,1001.4211758158037
205.926,201.19937589349092
1006.22,1001.4228577675447
106.013,101.7524908270534
1006.22,1001.4211758158037
